date,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-01-83,-17.709923,499.50,12.54,32.00,13.82,"1,574",1.017708121,1.9238,74.043,1.0536E-06,,,,,,
01-02-83,-12.836213,408.50,12.54,30.02,11.70,"1,649",1.034982405,1.9653,76.383,0.000001114,"1,574",,,,,-17.709923
01-03-83,-9.9478042,414.75,12.54,29.60,10.50,"1,598",1.1313497,1.9834,74.47652174,0.000001196,"1,649","1,574",,,,-12.836213
01-04-83,-7.2604651,429.25,12.54,30.80,11.96,"1,676",1.152604887,1.9938,73.686,1.33155E-06,"1,598","1,649","1,574",,,-9.9478042
01-05-83,-7.4677124,437.50,12.54,30.30,13.55,"1,766",1.138303927,1.9895,75.10136364,1.45715E-06,"1,676","1,598","1,649","1,574",,-7.2604651
01-06-83,-22.406148,416.00,12.54,31.35,11.60,"1,702",1.13999088,1.9949,77.03318182,1.60352E-06,"1,766","1,676","1,598","1,649","1,574",-7.4677124
01-07-83,-33.662619,422.00,12.54,31.95,12.15,"1,704",1.142334933,1.9966,78.25095238,1.72152E-06,"1,702","1,766","1,676","1,598","1,649",-22.406148
01-08-83,-34.707881,414.25,12.54,31.65,11.99,"1,640",1.137268282,1.9843,79.54863636,1.96549E-06,"1,704","1,702","1,766","1,676","1,598",-33.662619
01-09-83,-31.691998,405.00,12.54,30.45,11.24,"1,561",1.126506703,1.9867,81.24285714,2.12573E-06,"1,640","1,704","1,702","1,766","1,676",-34.707881
01-10-83,-28.724944,382.00,12.54,30.25,8.74,"1,435",1.094451133,1.9664,83.34,2.0931E-06,"1,561","1,640","1,704","1,702","1,766",-31.691998
01-11-83,-21.349196,405.00,12.54,29.62,9.81,"1,389",1.091822251,1.994,85.29095238,2.22657E-06,"1,435","1,561","1,640","1,704","1,702",-28.724944
01-12-83,-31.673351,381.50,12.54,29.65,8.91,"1,415",1.110617503,1.992,87.06809524,2.34035E-06,"1,389","1,435","1,561","1,640","1,704",-21.349196
01-01-84,-29.80907,373.75,11.31,30.27,8.43,"1,376",1.103752759,2.049,87.81772727,0.000002469,"1,415","1,389","1,435","1,561","1,640",-31.673351
01-02-84,-23.180155,394.25,11.31,30.62,9.64,"1,429",1.06974754,2.0628,88.12285714,2.6961E-06,"1,376","1,415","1,389","1,435","1,561",-29.80907
01-03-84,-18.933186,388.50,11.31,30.75,9.65,"1,501",1.051193104,2.0646,88.19772727,2.72436E-06,"1,429","1,376","1,415","1,389","1,435",-23.180155
01-04-84,-14.963288,375.80,11.31,30.27,8.96,"1,532",1.083306251,2.0929,88.54789474,2.91685E-06,"1,501","1,429","1,376","1,415","1,389",-18.933186
01-05-84,-15.599702,384.25,11.31,30.82,9.12,"1,420",1.103630946,2.1866,90.19142857,3.32345E-06,"1,532","1,501","1,429","1,376","1,415",-14.963288
01-06-84,-24.454363,373.05,11.31,29.57,8.39,"1,365",1.133016089,2.2178,91.13238095,3.3744E-06,"1,420","1,532","1,501","1,429","1,376",-15.599702
01-07-84,-29.345176,342.35,11.31,27.67,7.11,"1,332",1.198753297,2.2996,91.88909091,3.60552E-06,"1,365","1,420","1,532","1,501","1,429",-24.454363
01-08-84,-28.498087,348.25,11.31,29.33,7.45,"1,338",1.180219521,2.3718,92.69,4.05645E-06,"1,332","1,365","1,420","1,532","1,501",-29.345176
01-09-84,-25.356047,343.75,11.31,29.63,7.44,"1,294",1.203659124,2.5469,100.9447059,4.31505E-06,"1,338","1,332","1,365","1,420","1,532",-28.498087
