date,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-01-83,-17.70992,499.50000,12.54000,32.00000,13.82000,1574.09855,1.01771,1.92380,74.04300,0.00000,,,,,,
01-02-83,-12.83621,408.50000,12.54000,30.02000,11.70000,1649.05549,1.03498,1.96530,76.38300,0.00000,1574.09855,,,,,-17.70992
01-03-83,-9.94780,414.75000,12.54000,29.60000,10.50000,1598.34950,1.13135,1.98340,74.47652,0.00000,1649.05549,1574.09855,,,,-12.83621
01-04-83,-7.26047,429.25000,12.54000,30.80000,11.95750,1675.51120,1.15260,1.99380,73.68600,0.00000,1598.34950,1649.05549,1574.09855,,,-9.94780
01-05-83,-7.46771,437.50000,12.54000,30.30000,13.54500,1765.90075,1.13830,1.98950,75.10136,0.00000,1675.51120,1598.34950,1649.05549,1574.09855,,-7.26047
01-06-83,-22.40615,416.00000,12.54000,31.35000,11.59750,1701.96691,1.13999,1.99490,77.03318,0.00000,1765.90075,1675.51120,1598.34950,1649.05549,1574.09855,-7.46771
01-07-83,-33.66262,422.00000,12.54000,31.95000,12.14500,1704.17099,1.14233,1.99660,78.25095,0.00000,1701.96691,1765.90075,1675.51120,1598.34950,1649.05549,-22.40615
01-08-83,-34.70788,414.25000,12.54000,31.65000,11.99000,1640.23715,1.13727,1.98430,79.54864,0.00000,1704.17099,1701.96691,1765.90075,1675.51120,1598.34950,-33.66262
01-09-83,-31.69200,405.00000,12.54000,30.45000,11.24000,1560.87069,1.12651,1.98670,81.24286,0.00000,1640.23715,1704.17099,1701.96691,1765.90075,1675.51120,-34.70788
01-10-83,-28.72494,382.00000,12.54000,30.25000,8.74000,1435.20775,1.09445,1.96640,83.34000,0.00000,1560.87069,1640.23715,1704.17099,1701.96691,1765.90075,-31.69200
01-11-83,-21.34920,405.00000,12.54000,29.62000,9.81000,1388.91060,1.09182,1.99400,85.29095,0.00000,1435.20775,1560.87069,1640.23715,1704.17099,1701.96691,-28.72494
01-12-83,-31.67335,381.50000,12.54000,29.65000,8.91000,1415.36631,1.11062,1.99200,87.06810,0.00000,1388.91060,1435.20775,1560.87069,1640.23715,1704.17099,-21.34920
01-01-84,-29.80907,373.75000,11.31000,30.27000,8.43000,1375.68291,1.10375,2.04900,87.81773,0.00000,1415.36631,1388.91060,1435.20775,1560.87069,1640.23715,-31.67335
01-02-84,-23.18016,394.25000,11.31000,30.62000,9.64000,1428.59349,1.06975,2.06280,88.12286,0.00000,1375.68291,1415.36631,1388.91060,1435.20775,1560.87069,-29.80907
01-03-84,-18.93319,388.50000,11.31000,30.75000,9.65000,1501.34635,1.05119,2.06460,88.19773,0.00000,1428.59349,1375.68291,1415.36631,1388.91060,1435.20775,-23.18016
01-04-84,-14.96329,375.80000,11.31000,30.27000,8.96250,1532.21090,1.08331,2.09290,88.54789,0.00000,1501.34635,1428.59349,1375.68291,1415.36631,1388.91060,-18.93319
01-05-84,-15.59970,384.25000,11.31000,30.82000,9.12000,1419.77515,1.10363,2.18660,90.19143,0.00000,1532.21090,1501.34635,1428.59349,1375.68291,1415.36631,-14.96329
01-06-84,-24.45436,373.05000,11.31000,29.57000,8.39250,1364.65981,1.13302,2.21780,91.13238,0.00000,1419.77515,1532.21090,1501.34635,1428.59349,1375.68291,-15.59970
01-07-84,-29.34518,342.35000,11.31000,27.67000,7.11000,1331.59051,1.19875,2.29960,91.88909,0.00000,1364.65981,1419.77515,1532.21090,1501.34635,1428.59349,-24.45436
01-08-84,-28.49809,348.25000,11.31000,29.33000,7.44500,1338.20436,1.18022,2.37180,92.69000,0.00000,1331.59051,1364.65981,1419.77515,1532.21090,1501.34635,-29.34518
01-09-84,-25.35605,343.75000,11.31000,29.63000,7.43500,1294.11196,1.20366,2.54690,100.94471,0.00000,1338.20436,1331.59051,1364.65981,1419.77515,1532.21090,-28.49809
01-10-84,-24.08595,333.50000,11.31000,28.38000,7.19500,1272.06576,1.19560,2.64880,116.38909,0.00000,1294.11196,1338.20436,1331.59051,1364.65981,1419.77515,-25.35605
01-11-84,-16.54239,329.00000,11.31000,27.35000,7.05000,1344.81820,1.16442,2.67850,119.58095,0.00001,1272.06576,1294.11196,1338.20436,1331.59051,1364.65981,-24.08595
01-12-84,-19.70207,308.30000,11.31000,26.30000,6.28750,1320.56741,1.19048,2.79530,126.23421,0.00001,1344.81820,1272.06576,1294.11196,1338.20436,1331.59051,-16.54239
01-01-85,-23.25913,306.65000,11.49000,26.05000,6.33000,1358.04589,1.22684,2.81600,128.98091,0.00001,1320.56741,1344.81820,1272.06576,1294.11196,1338.20436,-19.70207
01-02-85,-27.59057,287.75000,11.49000,26.65000,5.71500,1388.91060,1.35612,2.83470,131.84450,0.00001,1358.04589,1320.56741,1344.81820,1272.06576,1294.11196,-23.25913
01-03-85,-25.86220,329.25000,11.49000,28.20000,6.66000,1389.35153,1.43472,2.85330,145.69429,0.00001,1388.91060,1358.04589,1320.56741,1344.81820,1272.06576,-27.59057
01-04-85,-20.88075,321.35000,11.49000,27.55000,6.32250,1501.34635,1.51883,2.84800,148.76095,0.00001,1389.35153,1388.91060,1358.04589,1320.56741,1344.81820,-25.86220
01-05-85,-24.90493,314.00000,11.49000,27.75000,6.08500,1530.00615,1.47754,2.85560,152.15095,0.00001,1501.34635,1389.35153,1388.91060,1358.04589,1320.56741,-20.88075
01-06-85,-34.41102,317.75000,11.49000,26.90000,6.11000,1433.00300,1.50353,2.86930,155.06400,0.00001,1530.00615,1501.34635,1389.35153,1388.91060,1358.04589,-24.90493
01-07-85,-50.15739,327.50000,11.49000,27.13000,6.33500,1474.89065,1.42959,2.88090,170.81087,0.00001,1433.00300,1530.00615,1501.34635,1389.35153,1388.91060,-34.41102
01-08-85,-57.61822,333.25000,11.49000,27.90000,6.24750,1419.77515,1.41443,2.90930,176.48810,0.00002,1474.89065,1433.00300,1530.00615,1501.34635,1389.35153,-50.15739
01-09-85,-50.07005,325.75000,11.49000,29.05000,6.05500,1366.86440,1.45012,2.97220,178.18944,0.00002,1419.77515,1474.89065,1433.00300,1530.00615,1501.34635,-57.61822
01-10-85,-37.00117,325.10000,11.49000,30.35000,6.14500,1384.50134,1.42349,3.07820,179.19217,0.00002,1366.86440,1419.77515,1474.89065,1433.00300,1530.00615,-50.07005
01-11-85,-36.18230,325.30000,11.49000,29.78000,6.15000,1369.06899,1.47623,3.20860,180.68400,0.00002,1384.50134,1366.86440,1419.77515,1474.89065,1433.00300,-37.00117
01-12-85,-36.03293,326.80000,11.49000,26.53000,5.80000,1391.11519,1.46821,3.20950,182.47850,0.00002,1369.06899,1384.50134,1366.86440,1419.77515,1474.89065,-36.18230
01-01-86,-37.78810,350.50000,11.36000,18.85000,6.10250,1417.57039,1.42857,3.20950,184.79818,0.00002,1391.11519,1369.06899,1384.50134,1366.86440,1419.77515,-36.03293
01-02-86,-51.74238,338.15000,11.36000,13.25000,5.66750,1404.34296,1.43000,3.21520,186.74150,0.00002,1417.57039,1391.11519,1369.06899,1384.50134,1366.86440,-37.78810
01-03-86,-55.38601,344.00000,11.36000,10.43000,5.61750,1444.02610,1.41263,3.22020,189.21950,0.00002,1404.34296,1417.57039,1391.11519,1369.06899,1384.50134,-51.74238
01-04-86,-61.55072,345.75000,11.36000,13.35000,5.10750,1433.00300,1.38351,3.21430,189.19136,0.00002,1444.02610,1404.34296,1417.57039,1391.11519,1369.06899,-55.38601
01-05-86,-66.38890,343.20000,11.36000,14.35000,5.20500,1417.57039,1.37514,3.20140,187.93000,0.00002,1433.00300,1444.02610,1404.34296,1417.57039,1391.11519,-61.55072
01-06-86,-69.35107,346.75000,11.36000,12.80000,5.04500,1413.16155,1.45159,3.21150,188.78810,0.00002,1417.57039,1433.00300,1444.02610,1404.34296,1417.57039,-66.38890
01-07-86,-80.97796,357.50000,11.36000,11.38000,5.04500,1344.81820,1.58957,3.64350,190.35826,0.00002,1413.16155,1417.57039,1433.00300,1444.02610,1404.34296,-69.35107
01-08-86,-78.31562,384.70000,11.36000,15.88000,5.17000,1302.93039,1.63319,3.71290,194.46050,0.00002,1344.81820,1413.16155,1417.57039,1433.00300,1444.02610,-80.97796
01-09-86,-54.27705,423.20000,11.36000,15.10000,5.52000,1309.54431,1.60746,3.71500,198.32474,0.00002,1302.93039,1344.81820,1413.16155,1417.57039,1433.00300,-78.31562
01-10-86,-48.83067,401.00000,11.36000,15.38000,5.60750,1316.15816,1.56666,3.72570,199.73174,0.00002,1309.54431,1302.93039,1344.81820,1413.16155,1417.57039,-54.27705
