date,id,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-01-90,1.0000,16.4312,415.0500,14.0500,22.7000,5.2050,2365.5570,1.2802,4.7339,296.7568,0.0128,,,,,,
01-02-90,2.0000,12.9947,407.7000,14.0500,21.5400,5.1200,2358.9434,1.3170,4.7339,292.4630,0.0133,2365.5570,,,,,16.4312
01-03-90,3.0000,12.4408,368.5000,14.0500,20.2800,4.9650,2625.7027,1.3235,4.7339,296.6632,0.0182,2358.9434,2365.5570,,,,12.9947
01-04-90,4.0000,2.6026,367.7500,14.0500,18.5500,4.9350,2685.2269,1.3094,4.7339,296.4115,0.0276,2625.7027,2358.9434,2365.5570,,,12.4408
01-05-90,5.0000,-6.3032,363.0500,14.0500,17.4000,5.0700,2740.3424,1.3139,4.7339,296.9710,0.0388,2685.2269,2625.7027,2358.9434,2365.5570,,2.6026
01-06-90,6.0000,-15.1336,352.2000,14.0500,17.0700,4.8400,2583.8149,1.2837,4.7339,296.7889,0.0698,2740.3424,2685.2269,2625.7027,2358.9434,2365.5570,-6.3032
01-07-90,7.0000,-25.1172,372.3000,14.0500,20.6300,4.8550,2769.0030,1.2645,4.7339,296.6655,0.1149,2583.8149,2740.3424,2685.2269,2625.7027,2358.9434,-15.1336
01-08-90,8.0000,-16.1037,387.7500,14.0500,27.3000,4.8300,2956.3956,1.2366,4.7339,303.4409,0.3198,2769.0030,2583.8149,2740.3424,2685.2269,2625.7027,-25.1172
01-09-90,9.0000,-18.7028,408.4000,14.0500,39.5800,4.7950,3040.1708,1.2120,4.7342,308.3494,0.4343,2956.3956,2769.0030,2583.8149,2740.3424,2685.2269,-16.1037
01-10-90,10.0000,-14.6890,379.5000,14.0500,35.2500,4.2225,2742.5470,1.2491,4.7339,312.4895,0.4464,3040.1708,2956.3956,2769.0030,2583.8149,2740.3424,-18.7028
01-11-90,11.0000,-9.7279,384.8500,14.0500,29.1000,4.0875,2583.8149,1.2938,4.9714,326.8648,0.4395,2742.5470,3040.1708,2956.3956,2769.0030,2583.8149,-14.6890
01-12-90,12.0000,-0.4539,386.2000,14.0500,28.4400,4.1925,2484.6070,1.2984,5.2352,334.9779,0.5286,2583.8149,2742.5470,3040.1708,2956.3956,2769.0030,-9.7279
01-01-91,13.0000,0.1709,366.0000,15.0300,21.8400,3.8250,2447.1282,1.2832,5.2352,337.2305,0.5395,2484.6070,2583.8149,2742.5470,3040.1708,2956.3956,-0.4539
01-02-91,14.0000,9.9244,362.7000,15.0300,19.1200,3.6775,2447.1282,1.2763,5.2352,337.5260,0.5520,2447.1282,2484.6070,2583.8149,2742.5470,3040.1708,0.1709
01-03-91,15.0000,17.8621,355.6500,15.0300,19.6400,3.8350,2409.6494,1.2968,5.2352,340.2380,0.5653,2447.1282,2447.1282,2484.6070,2583.8149,2742.5470,9.9244
01-04-91,16.0000,10.4074,357.7500,15.0300,21.0200,3.9325,2471.3793,1.2829,5.2767,340.2841,0.6355,2409.6494,2447.1282,2447.1282,2484.6070,2583.8149,17.8621
01-05-91,17.0000,14.2403,360.4000,15.0300,21.0800,4.1325,2340.4247,1.2915,5.3257,339.9505,0.7982,2471.3793,2409.6494,2447.1282,2447.1282,2484.6070,10.4074
01-06-91,18.0000,16.4220,368.3500,15.0300,20.5800,4.4525,2218.0680,1.3161,5.3667,344.8900,0.8528,2340.4247,2471.3793,2409.6494,2447.1282,2447.1282,14.2403
01-07-91,19.0000,7.9465,362.8500,15.0300,21.6800,4.0675,2231.2553,1.2960,5.3693,348.7183,0.8282,2218.0680,2340.4247,2471.3793,2409.6494,2447.1282,16.4220
01-08-91,20.0000,2.7829,347.4000,15.0300,22.3000,3.8150,2236.1868,1.2783,5.3725,350.8900,0.8019,2231.2553,2218.0680,2340.4247,2471.3793,2409.6494,7.9465
01-09-91,21.0000,5.8891,354.9000,15.0300,22.2300,4.1350,2318.5830,1.2599,5.3869,355.6061,0.8038,2236.1868,2231.2553,2218.0680,2340.4247,2471.3793,2.7829
01-10-91,22.0000,10.2291,357.4500,15.0300,23.4100,4.0900,2360.6456,1.2618,5.3917,359.0604,0.9241,2318.5830,2236.1868,2231.2553,2218.0680,2340.4247,5.8891
01-11-91,23.0000,10.8247,366.3000,15.0300,21.5000,4.0650,2375.6604,1.2713,5.3994,364.2565,1.0265,2360.6456,2318.5830,2236.1868,2231.2553,2218.0680,10.2291
01-12-91,24.0000,5.3821,353.1500,15.0300,19.1000,3.8600,2205.9185,1.2967,5.4232,371.9275,1.0067,2375.6604,2360.6456,2318.5830,2236.1868,2231.2553,10.8247
01-01-92,25.0000,2.5053,354.1000,14.3100,18.9100,4.1300,2150.5796,1.3376,5.4618,369.7509,0.9945,2205.9185,2375.6604,2360.6456,2318.5830,2236.1868,5.3821
01-02-92,26.0000,-10.8516,353.1000,14.3100,18.6500,4.1175,2208.8923,1.3301,5.4776,347.8635,0.9775,2150.5796,2205.9185,2375.6604,2360.6456,2318.5830,2.5053
01-03-92,27.0000,-18.1812,341.7000,14.3100,19.4800,4.1200,2231.7855,1.3182,5.4871,348.3441,0.9618,2208.8923,2150.5796,2205.9185,2375.6604,2360.6456,-10.8516
